nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Japón,125800000,377975,Asia
Brasil,213993437,8515767,América
Alemania,83149300,357022,Europa
Egipto,109300000,1002450,África
Australia,25688000,7692024,Oceanía
Canadá,38250000,9984670,América
España,47420000,505990,Europa
Sudáfrica,60140000,1221037,África
China,1412000000,9596961,Asia
Italia,58940000,301340,Europa
Nueva Zelanda,51240000,268021,Oceanía
México,126700000,1964375,América
Francia,67750000,551695,Europa
India,1408000000,3287263,Asia